Date,Company,AppLink/VendorName,Type,Designation
10/9/2023,Docusign,https://www.linkedin.com/jobs/view/3729168493/?alternateChannel=search&eBP=CwEAAAGLFiI6NvlVUdoV9TvVY_GaCImY07PkkvqWcQ6H93ZAujUg_nrZsZkRpxaldaMlf41eGVBPI67gIZ5hdKAE0EqJkBjz8OilrfKJ_iLJ-qHGXEk6yLb4KIucw4BPzUiLNNgwaSu6SZ0JS82NUqzPn6bWzUL7cDpRYpjzsaHj6wMDIdfr_NhqU8X7KwDHDkJCQ4leNtGr31n6G-9mAzzSvQtMgRbdsLugQkAwtk06MlOj_V2jgLUez9zcNS4rmpdffU32sdgwclboiquwdRGJWvYtzBd59gSDTt793Bl9EQZ-0DXuKn9RMMF5kXyb8YvguQlIO-9VqBxb7-zJAOqwjWsMAgfedajT&refId=BXPbXRFfCL1guh7gSWoapw%3D%3D&trackingId=LbB7BgjhwW1uvkEYPp3QNQ%3D%3D,App,
10/11/2023,Roblox,https://www.linkedin.com/jobs/view/3577490853/?eBP=CwEAAAGLICn-77nRe5GBSVIx3fQWkbvvEYPNJvG2JQhNxwV23qh1eT6Q5nLTjDOReVhQY2z4h99RetIcPOIVkSUkGxwDGMwzRBbK932r6UaaQcowvoWph96QQBNJRQVTB5HBX6DnZZVOqiDfzKmsfGTOfabP8zq-JwvdXC9-8LhXDoBx3-1NoChd6qOChTmjBFtldRFh2Dz__tyUQeh7VoFVRlP0preHPpvXSYsSiZ2C3erXbGBGz__JSFMX_6_HsMOmowWWNR2IpOxF_mawBWJfqMOtenJHYRAzPxoTJsqTe30VaGZbkWMYulEZANaysf_GoAoqSvJb9ZBxFJ6zCvIYWUAhmtwbRLFFXLsKHThJ58uAcyOc4JhGpC64zeAy-Nvf5E4I9x89N4E&refId=iIRDkoJxgOeI%2BAFqOhcthQ%3D%3D&trackingId=OKdIMi5HU%2FfnpdwsiuJVZw%3D%3D,App,
10/15/2023,HashiCorp,https://www.linkedin.com/jobs/view/3739127425/?alternateChannel=search&refId=pROcokq1tq9umH%2BhD%2Br0OA%3D%3D&trackingId=C4ZzGyCnvSsaVBaK5Esong%3D%3D,App,
10/15/2023,Apple,https://jobs.apple.com/en-us/details/200464880/senior-software-engineer-apple-distributed-storage-object-store,App,
10/27/2023,Affirm,https://boards.greenhouse.io/affirm/jobs/5762529003,App,
10/27/2023,Remitly,https://remitly.wd5.myworkdayjobs.com/en-US/Remitly_Careers/job/Senior-Software-Engineer--Privacy-Engineering_R_100495,App,
10/27/2023,Salesforce,https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/C--Software-Engineer--Marketing-Cloud-Data-Platform--Lead-Principal-_JR221781,App,
11/3/2023,Engineered Innovation Group,https://jobs.gusto.com/postings/the-engineered-innovation-group-senior-software-engineer-2329193a-b215-49b0-b830-9f5e979ea36b,App,
11/3/2023,Snowflake,https://careers.snowflake.com/us/en/job/SNCOUS6808442002EXTERNALENUS/Senior-Software-Engineer-Trust-Center?utm_medium=phenom-feeds&utm_source=linkedin&gh_src=ed5543a62,App,
11/3/2023,SoFi,https://www.linkedin.com/jobs/view/3715315107/?eBP=CwEAAAGLl2fYGCI-nAekADss3A60YlqKgL8q_I--v52Hnl3ZqVhVJsLq8XLq78k9WiD0mIUngc_PngLyhiu7n4RGWUPgfWL20fa7YIGVm5eGUAwYQpWfgsqwqebdU_Tf-ykqZVh501WIFJKw4SLM0VYny4YsYdzVlgDdoID9kB6u4xvUdBOL3A5TV0q1lbtBVZ6Nbnz575u5lXlEBf5v3MUfOxOLx2PYtUCeuzvj4PeYbcWil6To9FHUju12zr8tYl8hfPAeoU4I9FcM_bSedvO3aBv-SBHR2AKwOR9kICzZxLYfB8nHyLmgRmka3mWTHb_dZDBPXBrDRAIsUNidnPmp5Tp6y5msCYgp&refId=72UdzisdYZKTCeo%2FWwBaNw%3D%3D&trackingId=bCt2zkTdnyv9OEL3UZXarw%3D%3D,App,
